Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]	ZINC000000001735
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2	ZINC000000001758
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5	ZINC000000001773
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1	ZINC000000001792
O=C(O)c1cccnc1	ZINC000000001795
CN1CCC[C@@H]1c1cccnc1	ZINC000000001798
CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21	ZINC000000001850
Nc1nc2c(ncn2CCC(CO)CO)c(=O)[nH]1	ZINC000000001899
CN(C)CCOc1ccccc1Cc1ccccc1	ZINC000000001931
Cc1ccc(=O)n(-c2ccccc2)c1	ZINC000000001958
CCC1(c2ccccc2)C(=O)NCNC1=O	ZINC000000001979
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1	ZINC000000001982
CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O	ZINC000000001984
N=C(O)c1cnccn1	ZINC000000002005
CN(C)C(=O)Oc1ccc[n+](C)c1	ZINC000000002009
Oc1cccc(O)c1	ZINC000000002028
CCCN(CCC)CCc1cccc2c1CC(=O)N2	ZINC000000002041
CN(C)CCO[C@H](c1ccc(Cl)cc1)c1ccccn1	ZINC000000002043
NC(=O)c1ccccc1O	ZINC000000002055
Nc1ccc(S(N)(=O)=O)cc1	ZINC000000002101
Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O	ZINC000000002159
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1	ZINC000000002176
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1	ZINC000000002191
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2	ZINC000000002212
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl	ZINC000000002216
C[C@@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1	ZINC000000002272
CC(C)NC[C@H](O)c1cc(O)cc(O)c1	ZINC000000002273
O=C(c1ccccc1)c1ccc2n1CC[C@H]2C(=O)O	ZINC000000002279
CC(C)(C)NC[C@@H](O)c1cc(O)cc(O)c1	ZINC000000002281
CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1	ZINC000000002299
